,date,dayDeaths
365460,2022-04-02,306
369472,2022-04-03,218
373484,2022-04-04,209
377496,2022-04-05,371
381508,2022-04-06,348
385520,2022-04-07,373
389532,2022-04-08,338
393544,2022-04-09,329
397556,2022-04-10,258
401568,2022-04-11,171
405580,2022-04-12,184
409592,2022-04-13,0
413604,2022-04-14,582
417616,2022-04-15,273
421628,2022-04-16,203
425640,2022-04-17,132
429652,2022-04-18,130
433664,2022-04-19,166
437676,2022-04-20,147
441688,2022-04-21,206
445700,2022-04-22,151
449712,2022-04-23,109
453724,2022-04-24,110
457736,2022-04-25,0
461748,2022-04-26,223
465760,2022-04-27,0
469772,2022-04-28,258
473784,2022-04-29,70
477796,2022-04-30,81
481808,2022-05-01,83
485820,2022-05-02,49
489832,2022-05-03,72
493844,2022-05-04,79
497856,2022-05-05,48
501868,2022-05-06,83
505880,2022-05-07,71
509892,2022-05-08,40
513904,2022-05-09,62
517916,2022-05-10,29
521928,2022-05-11,63
525940,2022-05-12,52
529952,2022-05-13,55
533964,2022-05-14,48
537977,2022-05-15,35
541989,2022-05-16,27
546001,2022-05-17,31
550013,2022-05-18,40
554025,2022-05-19,43
558037,2022-05-20,26
562049,2022-05-21,54
566061,2022-05-22,98
570073,2022-05-23,0
574085,2022-05-24,23
578097,2022-05-25,34
582109,2022-05-26,40
586121,2022-05-27,36
590133,2022-05-28,19
594145,2022-05-29,9
598157,2022-05-30,9
602169,2022-05-31,21
606181,2022-06-01,15
610193,2022-06-02,17
614205,2022-06-03,9
618217,2022-06-04,20
622229,2022-06-05,21
626241,2022-06-06,20
630253,2022-06-07,6
634265,2022-06-08,18
638277,2022-06-09,18
642289,2022-06-10,10
646301,2022-06-11,20
650313,2022-06-12,17
654325,2022-06-13,2
658337,2022-06-14,9
662349,2022-06-15,8
666361,2022-06-16,9
670373,2022-06-17,11
674385,2022-06-18,14
678397,2022-06-19,10
682409,2022-06-20,12
686421,2022-06-21,11
6904331,2022-06-22,14
694445,2022-06-23,10
698457,2022-06-24,18
702469,2022-06-25,6
706481,2022-06-26,3
710493,2022-06-27,5
714505,2022-06-28,7
718517,2022-06-29,10
722529,2022-06-30,8
726541,2022-07-01,7
730553,2022-07-02,8
734565,2022-07-03,4
738577,2022-07-04,2
742589,2022-07-05,7
746601,2022-07-06,10
750613,2022-07-07,12
754625,2022-07-08,19
758637,2022-07-09,19
762649,2022-07-10,18
766661,2022-07-11,7
770673,2022-07-12,12
774685,2022-07-13,16
778697,2022-07-14,16
782709,2022-07-15,16
786721,2022-07-16,14
790733,2022-07-17,11
794745,2022-07-18,12
798757,2022-07-19,12
802769,2022-07-20,17
806781,2022-07-21,31
810793,2022-07-22,0
814805,2022-07-23,0
818817,2022-07-24,0
822829,2022-07-25,0
826841,2022-07-26,0
830853,2022-07-27,0
834865,2022-07-28,0
838877,2022-07-29,0
842889,2022-07-30,0
846901,2022-07-31,0
